quarantine_key,order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,reason_code
33,O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,1,INVALID_QUANTITY
34,O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,1,PRODUCT_NOT_FOUND
35,O000291,,C0165,P041,2.0,1291.92,0,Cash,Online,2026-01-06 23:59:00,1,INVALID_DATETIME
36,O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,1,CUSTOMER_NOT_FOUND
37,O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,1,PRODUCT_NOT_FOUND
38,O000415,2026-01-12 21:48:00,,P030,1.0,915.53,10,Credit Card,Marketplace,2026-01-13 23:59:00,1,MISSING_CUSTOMER_ID
39,O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,1,CUSTOMER_NOT_FOUND
40,O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120,Credit Card,Online,2026-01-16 23:59:00,1,INVALID_DISCOUNT
41,O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10,PromptPay,Online,2026-01-19 23:59:00,1,MISSING_CUSTOMER_ID
42,O000356,2026-01-19 11:29:00,C0146,P042,-2.0,733.19,0,Bank Transfer,Store,2026-01-20 23:59:00,1,INVALID_QUANTITY
43,O000388,,C0086,P027,1.0,817.79,15,Bank Transfer,Marketplace,2026-01-25 23:59:00,1,INVALID_DATETIME
44,O000404,2026-01-30 04:14:00,C0163,P016,5.0,878.59,120,Credit Card,Store,2026-01-31 23:59:00,1,INVALID_DISCOUNT
45,O000278,2026-02-01 02:14:00,C0022,P035,4.0,,0,PromptPay,Marketplace,2026-02-02 23:59:00,1,INVALID_UNIT_PRICE
46,O000262,,C0097,P044,5.0,766,0,Credit Card,Store,2026-02-03 23:59:00,1,INVALID_DATETIME
47,O000139,2026-02-03 21:12:00,C0072,P039,4.0,,5,Cash,Online,2026-02-04 23:59:00,1,INVALID_UNIT_PRICE
48,O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5,Cash,Online,2026-02-06 23:59:00,1,MISSING_CUSTOMER_ID
49,O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15,Credit Card,Online,2026-02-08 23:59:00,1,MISSING_CUSTOMER_ID
50,O000417,2026-02-09 22:58:00,C0021,P011,3.0,,0,Bank Transfer,Marketplace,2026-02-10 23:59:00,1,INVALID_UNIT_PRICE
51,O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,1,INVALID_QUANTITY
52,O000131,,C0152,P037,1.0,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,1,INVALID_DATETIME
53,O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,1,MISSING_CUSTOMER_ID
54,O000393,,C0148,P037,5.0,185.91,10,Bank Transfer,Online,2026-02-25 23:59:00,1,INVALID_DATETIME
55,O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120,Credit Card,Store,2026-03-01 23:59:00,1,INVALID_DISCOUNT
56,O000097,,C0110,P040,5.0,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,1,INVALID_DATETIME
57,O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120,PromptPay,Online,2026-03-03 23:59:00,1,INVALID_DISCOUNT
58,O000107,2026-03-03 15:13:00,C0130,P999,1.0,766,15,PromptPay,Store,2026-03-04 23:59:00,1,PRODUCT_NOT_FOUND
59,O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10,Credit Card,Online,2026-03-05 23:59:00,1,INVALID_QUANTITY
60,O000339,2026-03-15 12:23:00,C0146,P014,,358.74,0,Credit Card,Online,2026-03-16 23:59:00,1,INVALID_QUANTITY
61,O000194,,C0075,P003,3.0,344.85,10,Cash,Online,2026-03-20 23:59:00,1,INVALID_DATETIME
62,O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,1,INVALID_QUANTITY
63,O000712,2026-02-15 22:17:00,C0026,P040,-2.0,1472.44,10,Bank Transfer,Store,2026-02-17 23:59:00,2,INVALID_QUANTITY
64,O000678,2026-02-16 02:58:00,C0137,P046,,187.09,0,PromptPay,Store,2026-02-18 23:59:00,2,INVALID_QUANTITY
65,O000447,2026-02-16 15:50:00,C9999,P001,4.0,29.67,5,PromptPay,Online,2026-02-18 23:59:00,2,CUSTOMER_NOT_FOUND
66,O000623,2026-02-16 02:04:00,C0086,P041,-2.0,1291.92,15,Credit Card,Online,2026-02-18 23:59:00,2,INVALID_QUANTITY
67,O000642,2026-02-17 10:10:00,C0018,P999,5.0,979.4,5,Credit Card,Online,2026-02-19 23:59:00,2,PRODUCT_NOT_FOUND
68,O000808,2026-02-20 13:39:00,C0168,P008,5.0,292.37,120,Cash,Store,2026-02-22 23:59:00,2,INVALID_DISCOUNT
69,O000745,2026-02-22 01:04:00,C9999,P021,1.0,1114.51,0,PromptPay,Marketplace,2026-02-24 23:59:00,2,CUSTOMER_NOT_FOUND
70,O000707,2026-03-02 09:06:00,C0079,P044,2.0,766,120,Bank Transfer,Store,2026-03-04 23:59:00,2,INVALID_DISCOUNT
71,O000524,,C0075,P009,3.0,192.56,0,Bank Transfer,Marketplace,2026-03-08 23:59:00,2,INVALID_DATETIME
72,O000534,2026-03-22 19:50:00,C0044,P004,-2.0,1451.77,0,Bank Transfer,Online,2026-03-24 23:59:00,2,INVALID_QUANTITY
73,O000606,2026-03-22 11:21:00,C0125,P042,6.0,733.19,120,Credit Card,Store,2026-03-24 23:59:00,2,INVALID_DISCOUNT
74,O000445,2026-03-24 01:46:00,C0015,P039,-2.0,688.83,0,PromptPay,Store,2026-03-26 23:59:00,2,INVALID_QUANTITY
75,O000505,2026-03-25 23:29:00,C0154,P009,4.0,192.56,120,Cash,Marketplace,2026-03-27 23:59:00,2,INVALID_DISCOUNT
76,O000596,2026-03-31 05:33:00,C9999,P036,5.0,220.86,0,Cash,Online,2026-04-02 23:59:00,2,CUSTOMER_NOT_FOUND
77,O000679,,C0075,P040,2.0,1472.44,0,PromptPay,Online,2026-04-04 23:59:00,2,INVALID_DATETIME
78,O000428,2026-04-04 13:52:00,C0150,P999,4.0,450.41,15,PromptPay,Marketplace,2026-04-06 23:59:00,2,PRODUCT_NOT_FOUND
79,O000452,2026-04-05 15:06:00,C0126,P036,,220.86,0,Credit Card,Store,2026-04-07 23:59:00,2,INVALID_QUANTITY
80,O000801,2026-04-05 07:59:00,C0030,P044,-2.0,766,0,Credit Card,Marketplace,2026-04-07 23:59:00,2,INVALID_QUANTITY
81,O000695,2026-04-06 11:55:00,C0119,P017,3.0,,15,Cash,Marketplace,2026-04-08 23:59:00,2,INVALID_UNIT_PRICE
82,O000747,2026-04-07 20:13:00,,P014,1.0,358.74,0,Credit Card,Store,2026-04-09 23:59:00,2,MISSING_CUSTOMER_ID
83,O000786,,C0044,P008,6.0,292.37,5,Cash,Marketplace,2026-04-09 23:59:00,2,INVALID_DATETIME
84,O000830,2026-04-08 01:48:00,,P009,1.0,192.56,0,Bank Transfer,Online,2026-04-10 23:59:00,2,MISSING_CUSTOMER_ID
85,O000664,2026-04-11 00:34:00,,P004,3.0,1451.77,15,Bank Transfer,Store,2026-04-13 23:59:00,2,MISSING_CUSTOMER_ID
86,O000791,2026-04-11 13:31:00,C0058,P040,,1472.44,0,Credit Card,Store,2026-04-13 23:59:00,2,INVALID_QUANTITY
87,O000565,2026-04-14 04:24:00,C0009,P033,,654.4,5,Cash,Marketplace,2026-04-16 23:59:00,2,INVALID_QUANTITY
88,O000535,2026-04-17 04:13:00,C0100,P999,5.0,649.9,15,Bank Transfer,Store,2026-04-19 23:59:00,2,PRODUCT_NOT_FOUND
89,O000749,2026-04-18 13:19:00,C0180,P999,1.0,204.81,0,Cash,Online,2026-04-20 23:59:00,2,PRODUCT_NOT_FOUND
90,O000582,,C0140,P009,4.0,192.56,0,PromptPay,Online,2026-04-22 23:59:00,2,INVALID_DATETIME
91,O000556,2026-04-21 06:20:00,C0177,P001,6.0,,0,PromptPay,Store,2026-04-23 23:59:00,2,INVALID_UNIT_PRICE
92,O000655,,C0147,P037,3.0,185.91,0,Bank Transfer,Online,2026-04-24 23:59:00,2,INVALID_DATETIME
93,O000581,2026-04-23 12:25:00,,P010,3.0,1366.97,15,Credit Card,Online,2026-04-25 23:59:00,2,MISSING_CUSTOMER_ID
94,O000776,,C0120,P047,2.0,613.02,0,Cash,Online,2026-04-29 23:59:00,2,INVALID_DATETIME
95,O000834,2026-04-30 17:12:00,C0058,P032,3.0,,10,Cash,Online,2026-05-02 23:59:00,2,INVALID_UNIT_PRICE
96,O000498,2026-04-30 23:16:00,,P035,3.0,997.99,0,Credit Card,Marketplace,2026-05-02 23:59:00,2,MISSING_CUSTOMER_ID
97,O000485,,C0077,P010,4.0,1366.97,5,Bank Transfer,Online,2026-05-05 23:59:00,2,INVALID_DATETIME
98,O001243,2026-04-02 11:45:00,C0078,P015,,320.33,0,Credit Card,Store,2026-04-05 23:59:00,3,INVALID_QUANTITY
99,O001177,2026-04-04 04:07:00,C0129,P999,1.0,358.74,0,PromptPay,Marketplace,2026-04-07 23:59:00,3,PRODUCT_NOT_FOUND
100,O001043,2026-04-07 15:03:00,C9999,P029,5.0,450.41,0,Bank Transfer,Store,2026-04-10 23:59:00,3,CUSTOMER_NOT_FOUND
101,O001111,2026-04-08 03:19:00,C0137,P040,3.0,1472.44,120,PromptPay,Online,2026-04-11 23:59:00,3,INVALID_DISCOUNT
102,O000979,2026-04-16 01:32:00,C0049,P047,-2.0,613.02,0,Cash,Store,2026-04-19 23:59:00,3,INVALID_QUANTITY
103,O001245,2026-04-17 23:42:00,,P023,3.0,784.71,10,Bank Transfer,Online,2026-04-20 23:59:00,3,MISSING_CUSTOMER_ID
104,O001010,2026-04-17 03:46:00,C0102,P020,2.0,62.79,120,PromptPay,Marketplace,2026-04-20 23:59:00,3,INVALID_DISCOUNT
105,O001068,2026-04-20 01:42:00,C0145,P042,-2.0,733.19,15,Bank Transfer,Online,2026-04-23 23:59:00,3,INVALID_QUANTITY
106,O001067,,C0080,P042,6.0,733.19,15,Credit Card,Marketplace,2026-04-28 23:59:00,3,INVALID_DATETIME
107,O000894,2026-04-28 09:49:00,C9999,P022,5.0,840.27,10,Bank Transfer,Online,2026-05-01 23:59:00,3,CUSTOMER_NOT_FOUND
108,O001192,2026-05-02 18:39:00,C9999,P045,2.0,1459.08,10,PromptPay,Store,2026-05-05 23:59:00,3,CUSTOMER_NOT_FOUND
109,O001130,2026-05-02 06:41:00,C0089,P001,,29.67,0,Credit Card,Store,2026-05-05 23:59:00,3,INVALID_QUANTITY
110,O000996,2026-05-04 19:07:00,,P035,4.0,997.99,0,Cash,Online,2026-05-07 23:59:00,3,MISSING_CUSTOMER_ID
111,O001179,,C0171,P031,1.0,599.9,15,Credit Card,Store,2026-05-07 23:59:00,3,INVALID_DATETIME
112,O001164,,C0107,P008,4.0,292.37,15,Bank Transfer,Store,2026-05-09 23:59:00,3,INVALID_DATETIME
113,O000917,,C0032,P022,3.0,840.27,0,Credit Card,Store,2026-05-10 23:59:00,3,INVALID_DATETIME
114,O001246,2026-05-07 12:27:00,C0014,P024,-2.0,241.87,0,Bank Transfer,Store,2026-05-10 23:59:00,3,INVALID_QUANTITY
115,O001070,2026-05-13 06:50:00,C0023,P999,2.0,840.27,15,Cash,Store,2026-05-16 23:59:00,3,PRODUCT_NOT_FOUND
116,O000856,2026-05-15 06:36:00,C0089,P999,6.0,915.53,0,Bank Transfer,Marketplace,2026-05-18 23:59:00,3,PRODUCT_NOT_FOUND
117,O001212,2026-05-20 16:45:00,C0154,P004,5.0,1451.77,120,Bank Transfer,Marketplace,2026-05-23 23:59:00,3,INVALID_DISCOUNT
118,O000963,2026-05-20 19:21:00,C0069,P999,1.0,549.89,0,Cash,Online,2026-05-23 23:59:00,3,PRODUCT_NOT_FOUND
119,O000913,2026-05-26 00:19:00,,P023,5.0,784.71,5,Bank Transfer,Marketplace,2026-05-29 23:59:00,3,MISSING_CUSTOMER_ID
120,O001251,2026-05-28 02:21:00,C0059,P025,1.0,,0,Bank Transfer,Store,2026-05-31 23:59:00,3,INVALID_UNIT_PRICE
121,O000890,2026-05-28 01:59:00,C0061,P015,-2.0,320.33,15,Bank Transfer,Store,2026-05-31 23:59:00,3,INVALID_QUANTITY
122,O001017,2026-05-31 23:42:00,C0010,P009,,192.56,0,Bank Transfer,Marketplace,2026-06-03 23:59:00,3,INVALID_QUANTITY
123,O000873,,C0109,P001,6.0,29.67,5,PromptPay,Marketplace,2026-06-09 23:59:00,3,INVALID_DATETIME
124,O001162,2026-06-07 09:16:00,,P027,6.0,817.79,15,Cash,Store,2026-06-10 23:59:00,3,MISSING_CUSTOMER_ID
125,O001112,2026-06-10 12:16:00,C0096,P030,3.0,,0,Bank Transfer,Marketplace,2026-06-13 23:59:00,3,INVALID_UNIT_PRICE
126,O000909,2026-06-10 21:37:00,C0058,P009,1.0,192.56,120,PromptPay,Marketplace,2026-06-13 23:59:00,3,INVALID_DISCOUNT
127,O001079,2026-06-12 04:11:00,,P044,2.0,766,0,Bank Transfer,Marketplace,2026-06-15 23:59:00,3,MISSING_CUSTOMER_ID
128,O001048,,C0023,P037,2.0,185.91,0,Cash,Store,2026-06-18 23:59:00,3,INVALID_DATETIME
129,O000973,2026-06-16 00:22:00,C0055,P043,2.0,,10,Bank Transfer,Marketplace,2026-06-19 23:59:00,3,INVALID_UNIT_PRICE
130,O000904,2026-06-16 06:47:00,C0152,P033,,654.4,0,Bank Transfer,Marketplace,2026-06-19 23:59:00,3,INVALID_QUANTITY
131,O001157,2026-06-17 10:55:00,C0133,P041,-2.0,1291.92,5,Credit Card,Store,2026-06-20 23:59:00,3,INVALID_QUANTITY
132,O000970,,C0040,P040,2.0,1472.44,0,Cash,Online,2026-06-20 23:59:00,3,INVALID_DATETIME
